nombre_completo;email;telefono;departamento;provincia;distrito;tipo_cliente;fecha_registro;estado_cliente
Ivan Navarro;stormy.breeze42@yahoo.com;963625281;puno;puno;puno;;12/12/2025;Activo
Carla Molina;violet.spark99@yahoo.com;932884534;moquegua;moquegua;moquegua;Extranjero;13/12/2025;Inactivo
Lucía Quezada;crisp.moonlight07@yahoo.com;955950428;lima;lima;lima;Corporativo;14/12/2025;Activo
Valentín Altamirano;golden.echo58@yahoo.com;943555401;junin;junin;junin;Nacional;15/12/2025;Inactivo
Hipólito Córdova;crisp.moonlight07@yahoo.com;942589935;trujillo;trujillo;trujillo;Extranjero;16/12/2025;Activo
Julia Delgadillo;crisp.moonlight07@yahoo.com;966612095;piura;piura;piura;Corporativo;17/12/2025;Inactivo
Valery Santacruz;mystic.frost36@yahoo.com;969352646;tacna;tacna;tacna;Nacional;18/12/2025;Activo
Sofía Marín;radiant.night82@yahoo.com;931544127;arequipa;arequipa;arequipa;Extranjero;19/12/2025;Inactivo
Miguel Carmona;cobalt.fox15@yahoo.com;975470807;madre de dios;madre de dios;madre de dios;Corporativo;20/12/2025;Activo
Pedro Lozano;lunar.dreams77@yahoo.com;983694499;cusco;cusco;cusco;Nacional;21/12/2025;Inactivo
Facundo Roybal;emerald.wave09@yahoo.com;947988769;puno;puno;puno;Extranjero;22/12/2025;Activo
Miguel Iglesias;blazing.comet53@yahoo.com;984748320;moquegua;moquegua;moquegua;Corporativo;23/12/2025;Inactivo
Ignacio Gálvez;velvet.shadow18@yahoo.com;927176074;lima;lima;lima;Nacional;24/12/2025;Activo
Ivan Castañeda;neon.parrot64@yahoo.com;919189432;junin;junin;junin;Extranjero;25/12/2025;Inactivo
Miranda Matías;silver.hawk88@yahoo.com;982375035;trujillo;trujillo;trujillo;Corporativo;26/12/2025;Activo
Delfina Quesada;cosmic.flame31@yahoo.com;967497411;piura;piura;piura;Nacional;27/12/2025;Inactivo
Jorge Griego;amber.tide26@yahoo.com;984105422;tacna;tacna;tacna;Extranjero;28/12/2025;Activo
Samuel Olivo;azure.lyric47@yahoo.com;955286317;arequipa;arequipa;arequipa;Corporativo;29/12/2025;Inactivo
Regina Cordero;frosted.petal13@yahoo.com;955315267;madre de dios;madre de dios;madre de dios;Nacional;30/12/2025;Activo
Hugo Vallejo;thunder.mist50@yahoo.com;910396986;cusco;cusco;cusco;Extranjero;31/12/2025;Inactivo
Maximiliano Ybarra;velvet.shadow18@yahoo.com;911214336;puno;puno;puno;Corporativo;1/01/2026;Activo
Olivia Salcido;neon.parrot64@yahoo.com;908080638;moquegua;moquegua;moquegua;Nacional;2/01/2026;Inactivo
Jorge Castañeda;silver.hawk88@yahoo.com;910140288;lima;lima;lima;Extranjero;3/01/2026;Activo
Ian Quiñones;cosmic.flame31@yahoo.com;953565811;junin;junin;junin;Corporativo;4/01/2026;Inactivo
Damián Ybarra;amber.tide26@yahoo.com;983796288;trujillo;trujillo;trujillo;Nacional;5/01/2026;Activo
Catalina Madrid;azure.lyric47@yahoo.com;933236449;piura;piura;piura;Extranjero;6/01/2026;Inactivo
Lola Mondragón;frosted.petal13@yahoo.com;970262927;tacna;tacna;tacna;Corporativo;7/01/2026;Activo
Ignacio Valle;thunder.mist50@yahoo.com;931055595;arequipa;arequipa;arequipa;Nacional;8/01/2026;Inactivo
Samuel Raya;silent.river21@yahoo.com;949463924;madre de dios;madre de dios;madre de dios;Extranjero;9/01/2026;Activo
Miranda Zapata;blazing.orchid44@yahoo.com;939102851;cusco;cusco;cusco;Corporativo;10/01/2026;Inactivo
